,target setting steps,baseline steps,global step,total duration (s),total eval time (s),total logging & checkpointing_time (s),total submission time (s),submission time till eval 2 (s),num steps till eval 2,submission time since eval 2 (s),num steps since eval 2,equilibrium step time (s),projected max submission time (s)
criteo1tb_adafactor,8000.0,10666.666666666666,1600.0,11581.243921279907,10347.972908496857,0.1903829574584961,1233.056453704834,150.03070855140686,167.0,1083.0257451534271,1433.0,0.7557751187393071,8085.417530274552
fastmri_adafactor,27142.0,36189.333333333336,5428.0,1578.5515389442444,236.4624195098877,0.3209645748138428,1341.6939396858215,135.4901602268219,337.0,1206.2037794589996,5091.0,0.2369286543820467,8629.935253350088
imagenet_resnet_adafactor,140000.0,186666.66666666666,28000.0,10654.888427972794,442.53265404701233,0.41214704513549805,10211.551881790161,606.0176303386688,1410.0,9605.534251451492,26590.0,0.3612461170158515,67529.26911497193
imagenet_vit_adafactor,140000.0,186666.66666666666,28000.0,14847.395925998688,639.2177753448486,1.068406581878662,14206.521617650986,533.9756042957306,704.0,13672.546013355255,27296.0,0.5008992531270243,93682.53644713885
librispeech_conformer_adafactor,100000.0,133333.33333333334,20000.0,19648.84440588951,1106.188464641571,0.3293585777282715,18542.043169260025,2511.711072921753,2588.0,16030.332096338272,17412.0,0.9206485237961333,122882.20919948847
librispeech_deepspeech_adafactor,60000.0,80000.0,16000.0,20396.537291288376,1188.2053751945496,0.3072078227996826,19207.776968955994,2497.3522794246674,1962.0,16710.424689531326,14038.0,1.1903707571969886,95391.50542956326
ogbg_adafactor,60000.0,80000.0,12000.0,4774.829484701157,1437.0056021213531,0.28065037727355957,3337.4313197135925,277.04439973831177,876.0,3060.3869199752808,11124.0,0.27511568859900043,22045.29814444562
wmt_adafactor,100000.0,133333.33333333334,20000.0,13387.861794233322,5474.371400117874,0.20819854736328125,7913.014540910721,938.3866350650787,2138.0,6974.627905845642,17862.0,0.39047295408384514,52166.61600374651
