,criteo1tb,fastmri,imagenet_resnet,imagenet_vit,librispeech_conformer,librispeech_deepspeech,ogbg,wmt
adamw,0.15389423748338912,2.5169016353086477,2.2186927191660346,2.0218482003775553,1.2342591178812872,1.2139008243729914,2.903784088013913,1.3260645726958784
momentum,0.15929503477060655,2.494584703536925,2.236547629999181,2.108811220858934,1.2930166274489525,1.2271074684642023,2.904829316020982,1.271773132667447
nadamw,0.15302475404070676,2.428738021852782,2.180066376921503,1.9842426402616664,1.2368203438662533,1.2229943894846556,2.8304137856334344,1.3591883938033598
nesterov,0.15468266633436226,2.493970615274097,2.2397353473608743,2.107604911416699,1.27906964951687,1.2342870181024739,2.887126408708016,1.2790175362316338
