,criteo1tb,fastmri,imagenet_resnet,imagenet_vit,librispeech_conformer,librispeech_deepspeech,ogbg,wmt
adamw,0.2270358791028777,2.8491182409807605,2.7770830931921062,2.033600657257144,1.2040447474549036,0.7675359173703256,2.568232763459425,1.4464987662047377
momentum,0.22993875725219312,2.81538328376091,2.813766474761073,2.3136442862139317,1.1884149253469494,0.7727355991008394,2.6111180371578087,1.4361474846553162
nadamw,0.22431845803558778,2.686767111977857,2.8049882192888096,2.2913855738074327,1.2161816844550812,0.7974444738093929,3.0325022957851377,1.5642318175497714
nesterov,0.23211112607428697,2.712969197524807,2.822635099993472,2.242302153274783,1.2061051688767828,0.8252951541541967,3.0396847386330497,1.4543215175454083
