global_step,grad_norm,loss,train/accuracy,train/loss,validation/accuracy,validation/loss,validation/num_examples,test/accuracy,test/loss,test/num_examples,score,total_duration,preemption_count
0,0.5316121,6.9341683,,,,,,,,,,,
1,,,0.0009765625,6.911753177642822,0.0008599999709986,6.912240028381348,50000.0,0.0008000000379979,6.9117817878723145,10000.0,43.256062269210815,43.33819603919983,0.0
100,0.527868,6.878458,,,,,,,,,,,
200,0.5705872,6.8097787,,,,,,,,,,,
300,0.61039037,6.7089877,,,,,,,,,,,
400,0.6218869,6.595349,,,,,,,,,,,
500,0.6305284,6.5430956,,,,,,,,,,,
600,0.64165515,6.4828553,,,,,,,,,,,
700,0.66177243,6.450143,,,,,,,,,,,
800,0.7414892,6.3889956,,,,,,,,,,,
900,0.7269522,6.3568926,,,,,,,,,,,
1000,0.8007981,6.313401,,,,,,,,,,,
1100,0.8310251,6.2176523,,,,,,,,,,,
1200,0.7439513,6.193095,,,,,,,,,,,
1300,0.7601506,6.168683,,,,,,,,,,,
1400,0.77812326,6.1518564,,,,,,,,,,,
1500,0.9685295,6.0931454,,,,,,,,,,,
1501,,,0.0682597234845161,5.452796459197998,0.06317999958992,5.526564121246338,50000.0,0.0474000014364719,5.737519264221191,10000.0,544.0688033103943,597.6264700889587,0.0
1600,0.84206235,5.9837923,,,,,,,,,,,
1700,0.7959184,5.9818773,,,,,,,,,,,
1800,0.9358141,5.887443,,,,,,,,,,,
1900,0.80389893,5.792877,,,,,,,,,,,
2000,0.84338623,5.736313,,,,,,,,,,,
2100,0.9173464,5.7092485,,,,,,,,,,,
2200,0.94319093,5.637131,,,,,,,,,,,
2300,0.84543866,5.5691276,,,,,,,,,,,
2400,1.0850102,5.578047,,,,,,,,,,,
2500,0.82416034,5.5136747,,,,,,,,,,,
2600,0.8056537,5.4782934,,,,,,,,,,,
2700,0.9043283,5.421217,,,,,,,,,,,
2800,1.0256418,5.369769,,,,,,,,,,,
2900,0.8732993,5.3246794,,,,,,,,,,,
3000,0.8599941,5.259327,,,,,,,,,,,
3015,,,0.1911471635103225,4.206458568572998,0.1718599945306778,4.324267387390137,50000.0,0.1241000071167945,4.771923542022705,10000.0,1045.2758903503418,1127.693143606186,0.0
3100,0.81399316,5.1684647,,,,,,,,,,,
3200,0.91069955,5.168397,,,,,,,,,,,
3300,0.8923951,5.138863,,,,,,,,,,,
3400,0.8752209,5.0061407,,,,,,,,,,,
3500,0.87426794,4.968346,,,,,,,,,,,
3600,0.9100492,5.06428,,,,,,,,,,,
3700,0.8546586,5.019478,,,,,,,,,,,
3800,0.8346374,4.903255,,,,,,,,,,,
3900,0.74728,4.8034477,,,,,,,,,,,
4000,0.8312804,4.812128,,,,,,,,,,,
4100,0.7666227,4.7332664,,,,,,,,,,,
4200,0.79583365,4.7586503,,,,,,,,,,,
4300,0.7357473,4.7182183,,,,,,,,,,,
4400,0.7667452,4.682703,,,,,,,,,,,
4500,0.7803382,4.674851,,,,,,,,,,,
4531,,,0.2748126685619354,3.634973526000977,0.2541599869728088,3.7673704624176025,50000.0,0.192900002002716,4.284948348999023,10000.0,1543.3112304210665,1657.5111167430878,0.0
