global_step,grad_norm,loss,train/accuracy,train/loss,train/bleu,validation/accuracy,validation/loss,validation/bleu,validation/num_examples,test/accuracy,test/loss,test/bleu,test/num_examples,score,total_duration,preemption_count
9300,0.15064009,3.1757624,,,,,,,,,,,,,,
9356,,,0.6121424436569214,2.0680320262908936,29.414064928727665,0.626477062702179,1.964620471000672,25.92495479186465,3000.0,0.6308175325393677,1.9283477067947388,24.78448691934388,3003.0,3379.055480003357,5713.241757631302,0.0
9400,0.16971365,3.1071916,,,,,,,,,,,,,,
9500,0.1600484,3.2312353,,,,,,,,,,,,,,
9600,0.20605126,3.1534712,,,,,,,,,,,,,,
9700,0.15859416,3.1816025,,,,,,,,,,,,,,
9800,0.13856344,3.1821306,,,,,,,,,,,,,,
9900,0.16734518,3.1243436,,,,,,,,,,,,,,
10000,,,0.6106635928153992,2.070141553878784,28.646759522457057,0.6298620104789734,1.9383872747421265,26.42119760943259,3000.0,0.6348033547401428,1.89495861530304,25.100154633974164,3003.0,3609.021401643753,6392.914328813553,0.0
10000,,,,,,,,,,,,,,3609.021401643753,,0.0
