global_step,grad_norm,loss,train/accuracy,train/loss,validation/accuracy,validation/loss,validation/num_examples,test/accuracy,test/loss,test/num_examples,score,total_duration,preemption_count
9200,0.74505866,5.037984,,,,,,,,,,,
9300,0.72118723,5.1890936,,,,,,,,,,,
9371,,,0.440234363079071,2.568216562271118,0.3959999978542328,2.8050405979156494,50000.0,0.3073000013828277,3.391570806503296,10000.0,3745.145546674728,4084.3728551864624,0.0
9400,0.8708401,4.3547997,,,,,,,,,,,
9500,0.7992084,4.50725,,,,,,,,,,,
9600,0.82230645,6.0732512,,,,,,,,,,,
9700,0.88928384,4.944316,,,,,,,,,,,
9800,0.7532645,5.9822063,,,,,,,,,,,
9900,0.68751234,5.4361186,,,,,,,,,,,
10000,1.015266,4.1514616,,,,,,,,,,,
10100,0.774227,4.1595273,,,,,,,,,,,
10200,0.8888283,3.9895692,,,,,,,,,,,
10300,0.864317,4.097542,,,,,,,,,,,
10400,0.6108833,5.651892,,,,,,,,,,,
10408,,,0.4455077946186065,2.621795177459717,0.4178199768066406,2.7690317630767822,50000.0,0.3235000073909759,3.3453187942504883,10000.0,4153.292053461075,4533.198834657669,0.0
10500,0.8660777,3.934555,,,,,,,,,,,
10600,0.75805074,4.438155,,,,,,,,,,,
10700,0.5803407,5.767873,,,,,,,,,,,
10800,0.8919957,4.054058,,,,,,,,,,,
10900,0.87969583,4.0574408,,,,,,,,,,,
11000,0.8393481,3.9766138,,,,,,,,,,,
11100,0.92033166,3.943844,,,,,,,,,,,
11200,0.78142977,4.890728,,,,,,,,,,,
11300,0.59255165,5.954213,,,,,,,,,,,
11400,0.8236276,3.9588456,,,,,,,,,,,
11444,,,0.486640602350235,2.3957459926605225,0.4520599842071533,2.5678303241729736,50000.0,0.3510000109672546,3.141294479370117,10000.0,4560.956842422485,4982.76362156868,0.0
11500,0.83112913,3.902503,,,,,,,,,,,
11600,1.0135388,3.901133,,,,,,,,,,,
11700,0.6103694,5.276844,,,,,,,,,,,
11800,0.7221826,3.846969,,,,,,,,,,,
11900,0.76252383,3.8444207,,,,,,,,,,,
12000,0.6205975,5.5222063,,,,,,,,,,,
12100,0.8313668,3.9453406,,,,,,,,,,,
12200,0.7794138,5.021562,,,,,,,,,,,
12300,0.9243263,4.3614244,,,,,,,,,,,
12400,0.6906057,5.818476,,,,,,,,,,,
12481,,,0.5110155940055847,2.277349710464477,0.47147998213768,2.4619946479797363,50000.0,0.3701000213623047,3.0588738918304443,10000.0,4968.715453147888,5432.235075712204,0.0
12500,0.6265428,5.8320575,,,,,,,,,,,
12600,0.7743457,3.8471704,,,,,,,,,,,
12700,0.7996202,4.4579134,,,,,,,,,,,
12800,0.98786545,3.8117027,,,,,,,,,,,
12900,0.89539677,3.8864217,,,,,,,,,,,
13000,0.7197596,5.787849,,,,,,,,,,,
13100,0.7817133,3.820141,,,,,,,,,,,
13200,0.8708329,3.767359,,,,,,,,,,,
13300,0.940009,3.700398,,,,,,,,,,,
13400,0.66871053,3.733142,,,,,,,,,,,
13500,0.7576035,4.9178905,,,,,,,,,,,
13512,,,0.540332019329071,2.120326519012451,0.4920199811458587,2.346110582351685,50000.0,0.3867000043392181,2.953887224197388,10000.0,5375.138454914093,5882.361853837967,0.0
13600,0.97146714,3.6598487,,,,,,,,,,,
13700,0.72861314,4.708374,,,,,,,,,,,
13800,0.69062793,4.2270956,,,,,,,,,,,
13900,0.79581106,3.6093862,,,,,,,,,,,
14000,,,0.5444140434265137,2.0895581245422363,0.5029000043869019,2.273826837539673,50000.0,0.3996000289916992,2.8818907737731934,10000.0,5565.647086381912,6109.840334177017,0.0
14000,,,,,,,,,,,5565.647086381912,,0.0
