global_step,grad_norm,loss,train/accuracy,train/loss,validation/accuracy,validation/loss,validation/num_examples,test/accuracy,test/loss,test/num_examples,score,total_duration,preemption_count
0,0.5280007,6.927021,,,,,,,,,,,
1,,,0.0008769132546149,6.913438320159912,0.0008199999574571,6.912744998931885,50000.0,0.0013000001199543,6.912395477294922,10000.0,41.16219758987427,41.24273109436035,0.0
100,0.53835547,6.8872848,,,,,,,,,,,
200,0.5658265,6.8057756,,,,,,,,,,,
300,0.604766,6.6988764,,,,,,,,,,,
400,0.6297232,6.634617,,,,,,,,,,,
500,0.6398776,6.5664062,,,,,,,,,,,
600,0.6402163,6.447594,,,,,,,,,,,
700,0.9657258,6.4211025,,,,,,,,,,,
800,0.9059412,6.356993,,,,,,,,,,,
900,0.7374809,6.3143888,,,,,,,,,,,
1000,0.821451,6.2767587,,,,,,,,,,,
1100,0.8266322,6.1778507,,,,,,,,,,,
1200,0.90751904,6.180687,,,,,,,,,,,
1300,0.8562682,6.102817,,,,,,,,,,,
1400,0.98084795,6.028144,,,,,,,,,,,
1500,1.0607227,6.0135727,,,,,,,,,,,
1513,,,0.0747967138886451,5.39830493927002,0.0674600005149841,5.48199987411499,50000.0,0.0494000017642974,5.71992301940918,10000.0,545.9087255001068,591.4542157649994,0.0
1600,0.86131775,5.886607,,,,,,,,,,,
1700,1.177631,5.892335,,,,,,,,,,,
1800,0.8815357,5.8012867,,,,,,,,,,,
1900,0.8865229,5.7584343,,,,,,,,,,,
2000,1.0000093,5.645258,,,,,,,,,,,
2100,0.9173833,5.7125545,,,,,,,,,,,
2200,1.0816803,5.594029,,,,,,,,,,,
2300,0.9841459,5.50213,,,,,,,,,,,
2400,1.0434791,5.417691,,,,,,,,,,,
2500,1.0415542,5.4233093,,,,,,,,,,,
2600,0.9690129,5.3530703,,,,,,,,,,,
2700,1.0085956,5.223795,,,,,,,,,,,
2800,0.9656665,5.2047734,,,,,,,,,,,
2900,0.9068038,5.197956,,,,,,,,,,,
3000,0.9431265,5.176587,,,,,,,,,,,
3029,,,0.202985480427742,4.152096748352051,0.1876799911260604,4.262604713439941,50000.0,0.1365000009536743,4.73514461517334,10000.0,1050.6822109222412,1118.7764728069303,0.0
3100,0.97755235,5.053785,,,,,,,,,,,
3200,0.9782399,5.0775547,,,,,,,,,,,
3300,1.0050645,5.0216045,,,,,,,,,,,
3400,0.95132947,5.0244136,,,,,,,,,,,
3500,0.8755014,4.9322834,,,,,,,,,,,
3600,0.9066847,4.8969946,,,,,,,,,,,
3700,0.88140947,4.8436728,,,,,,,,,,,
3800,0.8633162,4.7497387,,,,,,,,,,,
3900,0.88089603,4.7723527,,,,,,,,,,,
4000,0.867755,4.7222476,,,,,,,,,,,
4100,0.83901614,4.7130265,,,,,,,,,,,
