global_step,grad_norm,loss,train/accuracy,train/loss,validation/accuracy,validation/loss,validation/num_examples,test/accuracy,test/loss,test/num_examples,score,total_duration,preemption_count
9900,1.6097592,2.959163,,,,,,,,,,,
10000,1.4540476,3.0840898,,,,,,,,,,,
10100,2.2357106,2.9664474,,,,,,,,,,,
10200,1.5514604,3.069024,,,,,,,,,,,
10300,1.4094259,2.9512873,,,,,,,,,,,
10400,1.256137,2.8654857,,,,,,,,,,,
10500,1.7965013,2.9352462,,,,,,,,,,,
10562,,,0.6567681431770325,1.4954708814620972,0.5811799764633179,1.849315881729126,50000.0,0.4592000246047973,2.53713607788086,10000.0,3557.704668045044,3770.366421461105,0.0
10600,1.212742,2.9528184,,,,,,,,,,,
10700,1.7960229,2.9459586,,,,,,,,,,,
10800,1.3862623,2.8934672,,,,,,,,,,,
10900,1.577783,2.8490148,,,,,,,,,,,
11000,1.7353338,2.9244523,,,,,,,,,,,
11100,1.3986864,2.997628,,,,,,,,,,,
11200,1.9318997,2.8718991,,,,,,,,,,,
11300,1.6130147,2.9028172,,,,,,,,,,,
11400,1.8340935,2.8248293,,,,,,,,,,,
11500,1.1870981,2.8386176,,,,,,,,,,,
11600,1.1836789,2.831618,,,,,,,,,,,
11700,1.2517259,2.820108,,,,,,,,,,,
11800,1.1230792,2.7352884,,,,,,,,,,,
11900,1.520256,2.8622818,,,,,,,,,,,
12000,1.3744683,2.722754,,,,,,,,,,,
12076,,,0.6671715378761292,1.4440593719482422,0.6018399596214294,1.7481681108474731,50000.0,0.4708000123500824,2.46207046508789,10000.0,4062.0700154304495,4299.783325910568,0.0
12100,1.1154726,2.7793334,,,,,,,,,,,
12200,1.2143294,2.797005,,,,,,,,,,,
12300,0.94349664,2.7149625,,,,,,,,,,,
12400,1.2029505,2.7309155,,,,,,,,,,,
12500,1.141238,2.7904482,,,,,,,,,,,
12600,1.073957,2.683033,,,,,,,,,,,
12700,1.3312494,2.8246741,,,,,,,,,,,
12800,1.2494584,2.7510424,,,,,,,,,,,
12900,1.1642059,2.761476,,,,,,,,,,,
13000,1.6232162,2.8348489,,,,,,,,,,,
13100,1.2101085,2.7041037,,,,,,,,,,,
13200,1.2234122,2.7650645,,,,,,,,,,,
13300,1.0574348,2.7232819,,,,,,,,,,,
13400,1.4817127,2.8384805,,,,,,,,,,,
13500,1.2299569,2.75426,,,,,,,,,,,
13581,,,0.6809231638908386,1.398531794548035,0.616379976272583,1.7017579078674316,50000.0,0.4861000180244446,2.3998289108276367,10000.0,4566.466235399246,4829.574169397354,0.0
13600,1.0887873,2.721104,,,,,,,,,,,
13700,1.2781641,2.7141736,,,,,,,,,,,
13800,1.4227866,2.6833968,,,,,,,,,,,
13900,0.92696124,2.7638502,,,,,,,,,,,
14000,,,0.6869021058082581,1.3595224618911743,0.6282399892807007,1.6294463872909546,50000.0,0.5001000165939331,2.3274717330932617,10000.0,4706.361274957657,4991.10830616951,0.0
14000,,,,,,,,,,,4706.361274957657,,0.0
