global_step,grad_norm,loss,train/accuracy,train/loss,train/mean_average_precision,validation/accuracy,validation/loss,validation/mean_average_precision,validation/num_examples,test/accuracy,test/loss,test/mean_average_precision,test/num_examples,score,total_duration,preemption_count
0,2.7116246,0.73812884,,,,,,,,,,,,,,
1,,,0.4897624254226684,0.7381417155265808,0.0221524942350984,0.4902582168579101,0.7420746088027954,0.025762619447083,43793.0,0.4909301996231079,0.7422943115234375,0.0283639415423858,43793.0,19.652745246887207,19.727904081344604,0.0
100,0.39972073,0.36020812,,,,,,,,,,,,,,
200,0.22223248,0.20136967,,,,,,,,,,,,,,
300,0.10124689,0.10846558,,,,,,,,,,,,,,
400,0.06155454,0.07493946,,,,,,,,,,,,,,
500,0.04071375,0.06631857,,,,,,,,,,,,,,
600,0.049185246,0.055462185,,,,,,,,,,,,,,
700,0.051263805,0.057363153,,,,,,,,,,,,,,
800,0.04469093,0.052545812,,,,,,,,,,,,,,
900,0.11396518,0.053164713,,,,,,,,,,,,,,
1000,0.13260104,0.04961497,,,,,,,,,,,,,,
1049,,,0.9871981143951416,0.0481340587139129,0.084596215666206,0.9845709800720216,0.057546641677618,0.0858921914940823,43793.0,0.983587682247162,0.0607764273881912,0.0854957246865578,43793.0,258.6958792209625,475.75318932533264,0.0
1100,0.06370705,0.046420366,,,,,,,,,,,,,,
1200,0.02748515,0.04450576,,,,,,,,,,,,,,
1300,0.04923334,0.04540671,,,,,,,,,,,,,,
1400,0.058695614,0.047621127,,,,,,,,,,,,,,
1500,0.05709725,0.05084734,,,,,,,,,,,,,,
1600,0.084550396,0.046064537,,,,,,,,,,,,,,
1700,0.07685057,0.048319068,,,,,,,,,,,,,,
1800,0.031097695,0.045608487,,,,,,,,,,,,,,
1900,0.04291816,0.042943407,,,,,,,,,,,,,,
2000,0.05626877,0.04612831,,,,,,,,,,,,,,
2100,0.042001836,0.0444458,,,,,,,,,,,,,,
2106,,,0.9879052639007568,0.0431213490664958,0.1493209229895821,0.9850824475288392,0.0520514994859695,0.143485160077645,43793.0,0.9841268062591552,0.0548220388591289,0.1423531583549254,43793.0,497.60931420326233,794.7298092842102,0.0
2200,0.029952513,0.045128547,,,,,,,,,,,,,,
2300,0.050623294,0.04799623,,,,,,,,,,,,,,
2400,0.024234986,0.041542936,,,,,,,,,,,,,,
2500,0.060653888,0.045551296,,,,,,,,,,,,,,
2600,0.058475763,0.04275765,,,,,,,,,,,,,,
2700,0.034198713,0.03967879,,,,,,,,,,,,,,
2800,0.024768444,0.046586107,,,,,,,,,,,,,,
2900,0.051315017,0.044478882,,,,,,,,,,,,,,
3000,0.032281477,0.044677127,,,,,,,,,,,,,,
3100,0.04026683,0.04572814,,,,,,,,,,,,,,
3182,,,0.9883849024772644,0.040510457009077,0.1975992880810856,0.9854884147644044,0.0498342402279377,0.1723364105568962,43793.0,0.984588861465454,0.0526043213903903,0.1751485490763336,43793.0,736.6642277240753,1112.0532128810885,0.0
3200,0.025281558,0.03838132,,,,,,,,,,,,,,
3300,0.022984935,0.04195215,,,,,,,,,,,,,,
3400,0.037062973,0.043096773,,,,,,,,,,,,,,
3500,0.032897606,0.04422582,,,,,,,,,,,,,,
3600,0.019262012,0.044091232,,,,,,,,,,,,,,
3700,0.024349134,0.03860466,,,,,,,,,,,,,,
3800,0.03349009,0.041727763,,,,,,,,,,,,,,
3900,0.024969423,0.045994647,,,,,,,,,,,,,,
4000,0.01960376,0.04330702,,,,,,,,,,,,,,
4100,0.0152987745,0.04094976,,,,,,,,,,,,,,
4200,0.022837237,0.041824266,,,,,,,,,,,,,,
4255,,,0.9888395071029664,0.0383654721081256,0.2321914001863706,0.9857725501060486,0.0482373759150505,0.1954009322215741,43793.0,0.9848672747612,0.050870094448328,0.1948618684646546,43793.0,975.6242115497588,1429.872315406799,0.0
4300,0.026041577,0.041431922,,,,,,,,,,,,,,
4400,0.020445552,0.04471669,,,,,,,,,,,,,,
4500,0.020042954,0.03908472,,,,,,,,,,,,,,
4600,0.022278009,0.040041875,,,,,,,,,,,,,,
4700,0.02997185,0.040200997,,,,,,,,,,,,,,
4800,0.023722155,0.041096352,,,,,,,,,,,,,,
4900,0.01419219,0.03922141,,,,,,,,,,,,,,
5000,0.017090444,0.042941436,,,,,,,,,,,,,,
5100,0.027942896,0.04118123,,,,,,,,,,,,,,
5200,0.017881082,0.038268983,,,,,,,,,,,,,,
5300,0.021394724,0.03917607,,,,,,,,,,,,,,
5315,,,0.98918879032135,0.0371522232890129,0.2717542542800047,0.986095666885376,0.0469900406897068,0.2118971047685548,43793.0,0.9851414561271667,0.0496758595108985,0.2152537808285404,43793.0,1214.6313955783844,1746.0648956298828,0.0
5400,0.013609352,0.03904874,,,,,,,,,,,,,,
5500,0.021862963,0.040303234,,,,,,,,,,,,,,
5600,0.013145922,0.04282782,,,,,,,,,,,,,,
5700,0.01758224,0.04030822,,,,,,,,,,,,,,
5800,0.012028095,0.039521903,,,,,,,,,,,,,,
5900,0.011000474,0.038952485,,,,,,,,,,,,,,
6000,,,0.9892237186431884,0.0363695062696933,0.2756437146024425,0.9862101674079896,0.0464543625712394,0.2268335733576351,43793.0,0.985292673110962,0.0492291785776615,0.2204497021052689,43793.0,1367.350144147873,1978.5640420913696,0.0
6000,,,,,,,,,,,,,,1367.350144147873,,0.0
