,target setting steps,baseline steps,global step,total duration (s),total eval time (s),total logging & checkpointing_time (s),total submission time (s),submission time till eval 2 (s),num steps till eval 2,submission time since eval 2 (s),num steps since eval 2,equilibrium step time (s),projected max submission time (s),total data selection time (s)
librispeech_deepspeech_nadamw,60000.0,80000.0,16000.0,13471.512701749802,882.5866956710815,0.2169191837310791,12588.480517625809,2461.4539234638214,3096.0,10127.026594161987,12904.0,0.784797473199162,62815.51880237218,2813.0091993808746
librispeech_deepspeech_nesterov,60000.0,80000.0,16000.0,13099.453714847565,730.9736483097076,0.22570300102233887,12368.02884554863,2459.6101264953613,3121.0,9908.418719053268,12879.0,0.7693468995304968,61606.23041550043,2615.6902062892914
ogbg_adamw,60000.0,80000.0,12000.0,3941.9723846912384,1142.1600670814514,1.685539722442627,2798.0263595581055,259.97359323501587,1025.0,2538.0527663230896,10975.0,0.2312576552458396,18523.546916275198,
ogbg_momentum,60000.0,80000.0,12000.0,3952.882199525833,1150.6944134235382,1.1452651023864746,2800.936535835266,259.88331842422485,1023.0,2541.0532174110413,10977.0,0.23148886010850334,18542.17902321349,
ogbg_nadamw,60000.0,80000.0,12000.0,3901.0379631519318,1127.723085641861,1.595766305923462,2771.6236226558685,260.37417006492615,1041.0,2511.2494525909424,10959.0,0.22914950749073296,18353.790132025708,
ogbg_nesterov,60000.0,80000.0,12000.0,3859.6428830623627,1123.0320718288422,1.1136713027954102,2735.4038186073303,259.6519031524658,1065.0,2475.7519154548645,10935.0,0.22640621083263507,18131.026155226515,
wmt_adamw,100000.0,133333.33333333334,20000.0,12726.68507552147,5441.676376819611,42.86041855812073,7241.922610998154,873.3912582397461,2330.0,6368.531352758408,17670.0,0.36041490394784426,48088.945058420504,
wmt_momentum,100000.0,133333.33333333334,20000.0,12769.609462499619,5545.317233800888,29.375240087509155,7194.664098024368,870.1244316101074,2345.0,6324.539666414261,17655.0,0.35822937787676357,47793.99359072424,
wmt_nadamw,100000.0,133333.33333333334,20000.0,12447.770543336868,5120.15834903717,42.171207904815674,7285.220268726349,874.119500875473,2317.0,6411.100767850876,17683.0,0.3625573018068696,48375.04780683824,
wmt_nesterov,100000.0,133333.33333333334,20000.0,12810.375185966492,5568.519872665405,27.008020877838135,7214.646990537643,870.2246091365814,2339.0,6344.422381401062,17661.0,0.3592334738350638,47927.774025178216,
