,warmup steps/sec,equilibrium steps/sec,max steps
criteo1tb_adamw,0.00586170385698041,0.24990937049074025,8000
criteo1tb_momentum,0.0061264590085479175,0.24925682377232172,8000
criteo1tb_nadamw,0.006070068061848596,0.24260233609306428,8000
criteo1tb_nesterov,0.005816766566575145,0.2443920195655751,8000
fastmri_adamw,0.015481702091024762,2.872005372918439,27142
fastmri_momentum,0.015298974608935085,2.8697337599510586,27142
fastmri_nadamw,0.015464432015417888,2.8674567631758663,27142
fastmri_nesterov,0.01556932792242508,2.90044551892275,27142
imagenet_resnet_adamw,0.022721451805288673,2.8253341600943895,140000
imagenet_resnet_momentum,0.0233342292493848,2.835611450808913,140000
imagenet_resnet_nadamw,0.022499024201037308,2.8320633796118355,140000
imagenet_resnet_nesterov,,,
imagenet_vit_adamw,0.020453350821875202,2.330968380738729,140000
imagenet_vit_momentum,0.02206466727328355,2.3222299036666127,140000
imagenet_vit_nadamw,0.019873662231429043,2.3064302859203076,140000
imagenet_vit_nesterov,0.021942857219387754,2.271361428116804,140000
librispeech_conformer_adamw,0.01593065748400081,1.2314921709845574,100000
librispeech_conformer_momentum,0.01671967903668208,1.1970625906709353,100000
librispeech_conformer_nadamw,0.01541561463365637,1.2464762845548627,100000
librispeech_conformer_nesterov,0.01668138610759995,1.2164564825652657,100000
librispeech_deepspeech_adamw,0.01764790407850067,0.8321714120451367,60000
librispeech_deepspeech_momentum,0.018179986996313242,0.8314478247577429,60000
librispeech_deepspeech_nadamw,0.01710506578541752,0.823588524592394,60000
librispeech_deepspeech_nesterov,0.018378576430733654,0.8219125306622942,60000
ogbg_adamw,0.05166943816441277,3.108113237711871,60000
ogbg_momentum,0.05614464714917303,3.0772970179382626,60000
ogbg_nadamw,0.05126678449920186,3.070542569372907,60000
ogbg_nesterov,0.054502767231355755,3.105871057980209,60000
wmt_adamw,0.03037674896628767,1.4075612570654144,100000
wmt_momentum,0.03424418634603303,1.4586786194522101,100000
wmt_nadamw,,,
wmt_nesterov,0.03339795111015375,1.4617631433609743,100000
