global_step,grad_norm,loss,train/loss,validation/loss,validation/num_examples,test/loss,test/num_examples,score,total_duration,preemption_count
0,1.9941325187683103,0.2652838230133056,,,,,,,,
1,,,0.2642074483909354,0.2638746966292135,89000000.0,0.2658376085024014,89274637.0,163.89157128334045,163.8935923576355,0.0
1,2.004547119140625,0.2639437615871429,,,,,,,,
2,1.8838427066802976,0.254899799823761,,,,,,,,
3,1.592086672782898,0.2361479103565216,,,,,,,,
4,1.1867104768753052,0.2094478905200958,,,,,,,,
5,0.8436216115951538,0.1855578124523162,,,,,,,,
6,0.5656449794769287,0.167424127459526,,,,,,,,
7,0.354754090309143,0.1541661918163299,,,,,,,,
8,0.1582513451576233,0.1498571038246154,,,,,,,,
9,0.0534696653485298,0.1439588069915771,,,,,,,,
10,0.1890941262245178,0.1481138318777084,,,,,,,,
11,0.3234648108482361,0.1535752564668655,,,,,,,,
12,0.3988135457038879,0.155421108007431,,,,,,,,
13,0.4455457329750061,0.157420739531517,,,,,,,,
14,0.4590200781822204,0.1604815125465393,,,,,,,,
15,0.402809739112854,0.1559031307697296,,,,,,,,
16,0.3214410245418548,0.1506890207529068,,,,,,,,
17,0.2409844994544983,0.150227278470993,,,,,,,,
18,0.1510152816772461,0.1482766717672348,,,,,,,,
19,0.0594810023903846,0.144180491566658,,,,,,,,
20,0.0563667230308055,0.1455616801977157,,,,,,,,
21,0.1041605770587921,0.1447606682777404,,,,,,,,
22,0.1341800391674041,0.1453046649694442,,,,,,,,
23,0.1499243974685669,0.1455443352460861,,,,,,,,
24,0.1512144356966018,0.145215556025505,,,,,,,,
25,0.1431335657835006,0.1434209048748016,,,,,,,,
26,0.1150161176919937,0.1440671682357788,,,,,,,,
27,0.0809660851955413,0.142730250954628,,,,,,,,
28,0.0378169640898704,0.1422698199748993,,,,,,,,
29,0.0302684009075164,0.1419548690319061,,,,,,,,
30,0.0576979778707027,0.1414638012647628,,,,,,,,
31,0.0849552303552627,0.1421284824609756,,,,,,,,
