global_step,grad_norm,loss,train/loss,validation/loss,validation/num_examples,test/loss,test/num_examples,score,total_duration,preemption_count
0,9.615694046020508,0.8579965829849243,,,,,,,,
1,,,0.8575717906376472,0.8560069213483146,89000000.0,0.8560560823114857,89274637.0,154.02036333084106,154.0223982334137,0.0
1,9.5909423828125,0.8576284646987915,,,,,,,,
2,9.469722747802734,0.8442948460578918,,,,,,,,
3,9.193894386291504,0.8179637789726257,,,,,,,,
4,8.760796546936035,0.7800372838973999,,,,,,,,
5,8.211150169372559,0.7331109046936035,,,,,,,,
6,7.617798328399658,0.6790487766265869,,,,,,,,
7,7.034024715423584,0.6199378371238708,,,,,,,,
8,6.425640106201172,0.5571147203445435,,,,,,,,
9,5.733734130859375,0.4935942590236664,,,,,,,,
10,5.012898921966553,0.4316069781780243,,,,,,,,
11,4.298377513885498,0.3727406859397888,,,,,,,,
12,3.632750988006592,0.3202802836894989,,,,,,,,
13,2.9631576538085938,0.2732402980327606,,,,,,,,
14,2.318369150161743,0.2341223210096359,,,,,,,,
15,1.6951922178268433,0.2057341486215591,,,,,,,,
16,1.148536205291748,0.1839449852705001,,,,,,,,
17,0.7025119662284851,0.1692007631063461,,,,,,,,
18,0.3142437636852264,0.1627671122550964,,,,,,,,
19,0.1204650774598121,0.1598284095525741,,,,,,,,
20,0.2624740600585937,0.1600823402404785,,,,,,,,
21,0.4075539410114288,0.1613824665546417,,,,,,,,
22,0.4749031066894531,0.1603584438562393,,,,,,,,
23,0.5203176736831665,0.1626361161470413,,,,,,,,
24,0.5088193416595459,0.1615456342697143,,,,,,,,
25,0.4866818487644195,0.1615018248558044,,,,,,,,
26,0.4025627076625824,0.1573370844125747,,,,,,,,
27,0.3295788764953613,0.1560962051153183,,,,,,,,
28,0.2252589017152786,0.1530334502458572,,,,,,,,
29,0.1523530185222625,0.1528801172971725,,,,,,,,
30,0.1003617122769355,0.1518285870552063,,,,,,,,
31,0.0848534628748893,0.1528800576925277,,,,,,,,
32,0.0782168507575988,0.1495038717985153,,,,,,,,
33,0.0746066570281982,0.1468280851840973,,,,,,,,
34,0.1160861477255821,0.1478874087333679,,,,,,,,
35,0.096319705247879,0.1472023576498031,,,,,,,,
36,0.0592154338955879,0.147704392671585,,,,,,,,
37,0.0830068960785865,0.1442221999168396,,,,,,,,
38,0.0917116329073906,0.1451269388198852,,,,,,,,
