global_step,grad_norm,loss,train/ssim,train/loss,validation/ssim,validation/loss,validation/num_examples,test/ssim,test/loss,test/num_examples,score,total_duration,preemption_count
0,4.3851485,1.0485785,,,,,,,,,,,
1,,,0.1811343942369733,1.0302156039646693,0.1749090689517972,1.0372117986555642,3554.0,0.1979095706124773,1.0325621962047962,3581.0,64.53589916229248,64.66451525688171,0.0
100,0.3581745,0.3206346,,,,,,,,,,,
200,0.118730724,0.3685813,,,,,,,,,,,
300,0.1107352,0.2661221,,,,,,,,,,,
330,,,0.7046819414411273,0.3052642004830496,0.685435864518852,0.3227178759298502,3554.0,0.7035487861281765,0.3246799310270351,3581.0,144.19129371643066,354.9831871986389,0.0
400,0.19276258,0.30095804,,,,,,,,,,,
500,0.32613733,0.23857531,,,,,,,,,,,
567,,,0.7180173056466239,0.2910246508462088,0.699495657951428,0.307512428227877,3554.0,0.7170303118891371,0.3096775543886135,3581.0,224.0960612297058,440.0562567710877,0.0
600,0.26450077,0.3560992,,,,,,,,,,,
700,0.50683707,0.23844895,,,,,,,,,,,
800,0.19735081,0.3587048,,,,,,,,,,,
803,,,0.7253443854195731,0.284964987209865,0.7063342745410102,0.3016474546175963,3554.0,0.7235421375401424,0.3037879089508866,3581.0,303.9491605758667,524.6423704624176,0.0
900,0.18386362,0.36777753,,,,,,,,,,,
1000,0.1481362,0.2315036,,,,,,,,,,,
1074,,,0.7291291100638253,0.2812966108322143,0.7106828491004854,0.2975439137129818,3554.0,0.7278069286032184,0.2994705195934271,3581.0,383.7482380867005,612.4719061851501,0.0
1100,0.21319272,0.3519188,,,,,,,,,,,
1200,0.4801922,0.20293656,,,,,,,,,,,
1300,0.09670562,0.26565966,,,,,,,,,,,
1400,0.3789997,0.2124407,,,,,,,,,,,
1423,,,0.7264456748962402,0.2821413278579712,0.7084702645786438,0.2986457751719014,3554.0,0.7252440315423415,0.3005105545653274,3581.0,463.61904072761536,697.573474407196,0.0
1500,0.3841813,0.33348185,,,,,,,,,,,
1600,0.3908879,0.23170976,,,,,,,,,,,
1700,0.11161445,0.2850238,,,,,,,,,,,
1774,,,0.7339517048427037,0.2766545670373099,0.7152150443382457,0.2934505739571609,3554.0,0.7323707425038397,0.2950394115645071,3581.0,543.3616323471069,782.4481084346771,0.0
1800,0.09466023,0.2562489,,,,,,,,,,,
1900,0.101286545,0.2900189,,,,,,,,,,,
2000,0.5317744,0.2500704,,,,,,,,,,,
2100,0.16647589,0.24995896,,,,,,,,,,,
2121,,,0.7371014867510114,0.2765000888279506,0.7169714279904685,0.2945669986722707,3554.0,0.7340902942613795,0.296241911520874,3581.0,623.1389508247375,866.9598498344421,0.0
2200,0.07976311,0.3224267,,,,,,,,,,,
2300,0.09590701,0.31591567,,,,,,,,,,,
2400,0.20398936,0.31443268,,,,,,,,,,,
2470,,,0.7381346566336495,0.2738879919052124,0.7184521401941475,0.291193406636888,3554.0,0.7355775681330284,0.292811602795134,3581.0,702.9855720996857,951.5777640342712,0.0
2500,0.10090444,0.2796992,,,,,,,,,,,
2600,0.35390794,0.39101842,,,,,,,,,,,
2700,0.05386929,0.25908026,,,,,,,,,,,
2714,,,0.7364419528416225,0.2738380091530936,0.716370350199599,0.2910807131379255,3554.0,0.7336553953373709,0.2926358774499965,3581.0,757.5447692871094,1010.7990951538086,0.0
2714,,,,,,,,,,,757.5447692871094,,0.0
