global_step,grad_norm,loss,train/accuracy,train/loss,train/mean_average_precision,validation/accuracy,validation/loss,validation/mean_average_precision,validation/num_examples,test/accuracy,test/loss,test/mean_average_precision,test/num_examples,score,total_duration,preemption_count
0,2.4251956939697266,0.7067705988883972,,,,,,,,,,,,,,
1,,,0.5715422613054435,0.7069145441055298,0.0232022069583548,0.5636502837119542,0.7099474668502808,0.0263072875092304,43793.0,0.5584538195829415,0.714481770992279,0.0279132545812701,43793.0,5.487239122390747,5.489253044128418,0.0
1,2.438380241394043,0.7072466611862183,,,,,,,,,,,,,,
2,2.431723594665528,0.705684244632721,,,,,,,,,,,,,,
3,2.3974263668060303,0.7002871632575989,,,,,,,,,,,,,,
4,2.313443183898926,0.6919649839401245,,,,,,,,,,,,,,
5,2.236910581588745,0.6796131730079651,,,,,,,,,,,,,,
6,2.1392569541931152,0.6666771769523621,,,,,,,,,,,,,,
7,1.9816489219665527,0.6474246382713318,,,,,,,,,,,,,,
8,1.8096774816513064,0.6266350746154785,,,,,,,,,,,,,,
9,1.6798300743103027,0.611575722694397,,,,,,,,,,,,,,
10,1.4846748113632202,0.5862141251564026,,,,,,,,,,,,,,
11,1.3160297870635986,0.5683203935623169,,,,,,,,,,,,,,
12,1.215622067451477,0.5560782551765442,,,,,,,,,,,,,,
13,1.153521180152893,0.541009783744812,,,,,,,,,,,,,,
14,1.1321238279342651,0.5283796787261963,,,,,,,,,,,,,,
15,1.086106538772583,0.5193151831626892,,,,,,,,,,,,,,
16,1.0144692659378052,0.5052791833877563,,,,,,,,,,,,,,
17,0.9661550521850586,0.4952618181705475,,,,,,,,,,,,,,
18,0.8979918956756592,0.4857347905635834,,,,,,,,,,,,,,
19,0.7928274273872375,0.4729428589344024,,,,,,,,,,,,,,
20,0.75882488489151,0.4630243182182312,,,,,,,,,,,,,,
21,0.7177090048789978,0.4487913250923157,,,,,,,,,,,,,,
22,0.6690612435340881,0.437789648771286,,,,,,,,,,,,,,
23,0.6258071064949036,0.4347390532493591,,,,,,,,,,,,,,
24,0.601726770401001,0.4214887619018554,,,,,,,,,,,,,,
25,0.5732663869857788,0.4126227498054504,,,,,,,,,,,,,,
26,0.5451725721359253,0.4052323997020721,,,,,,,,,,,,,,
27,0.5323809385299683,0.3943859040737152,,,,,,,,,,,,,,
28,0.5146600008010864,0.3841860294342041,,,,,,,,,,,,,,
29,0.506295919418335,0.3785795867443084,,,,,,,,,,,,,,
30,0.4890156984329223,0.3648549914360046,,,,,,,,,,,,,,
31,0.465293288230896,0.3597826659679413,,,,,,,,,,,,,,
32,0.4472456574440002,0.3508664667606354,,,,,,,,,,,,,,
33,0.4264766275882721,0.3436268270015716,,,,,,,,,,,,,,
34,0.4133056402206421,0.3336959183216095,,,,,,,,,,,,,,
35,0.396911472082138,0.325650691986084,,,,,,,,,,,,,,
36,0.3852790892124176,0.319153219461441,,,,,,,,,,,,,,
