global_step,grad_norm,loss,train/accuracy,train/loss,train/bleu,validation/accuracy,validation/loss,validation/bleu,validation/num_examples,test/accuracy,test/loss,test/bleu,test/num_examples,score,total_duration,preemption_count
0,4.9105463,11.020231,,,,,,,,,,,,,,
1,,,0.0007474701269529,10.976425170898438,2.9145221699308466e-11,0.0004835649742744,10.985247611999512,3.0644377908982816e-10,3000.0,0.0007088489946909,10.970314979553224,1.2553809087045416e-10,3003.0,29.73606562614441,29.941956520080566,0.0
100,0.18039128,9.071796,,,,,,,,,,,,,,
200,0.12918243,8.891003,,,,,,,,,,,,,,
300,0.14403392,8.795081,,,,,,,,,,,,,,
400,0.23956455,8.663285,,,,,,,,,,,,,,
500,0.63884914,8.397998,,,,,,,,,,,,,,
600,0.76725423,8.273069,,,,,,,,,,,,,,
700,0.6912784,8.140554,,,,,,,,,,,,,,
800,0.74231327,8.012387,,,,,,,,,,,,,,
900,0.8042401,7.912578,,,,,,,,,,,,,,
1000,0.7893055,7.8569636,,,,,,,,,,,,,,
1100,0.7640153,7.7761054,,,,,,,,,,,,,,
1200,0.7073232,7.656243,,,,,,,,,,,,,,
1300,0.8916559,7.645881,,,,,,,,,,,,,,
1400,0.64836735,7.509591,,,,,,,,,,,,,,
1500,0.8876636,7.4318933,,,,,,,,,,,,,,
1600,0.650598,7.328507,,,,,,,,,,,,,,
1700,0.78685033,7.250426,,,,,,,,,,,,,,
1800,0.7824943,7.2166452,,,,,,,,,,,,,,
1900,0.57549196,7.1870914,,,,,,,,,,,,,,
2000,0.6908643,7.106524,,,,,,,,,,,,,,
2100,0.707849,6.8948817,,,,,,,,,,,,,,
2200,0.69089156,6.8870935,,,,,,,,,,,,,,
2300,0.7373508,6.8486304,,,,,,,,,,,,,,
2345,,,0.3068328499794006,5.52842378616333,6.747917320100717,0.2848817706108093,5.808018207550049,3.5875445158267176,3000.0,0.263924241065979,6.105105876922607,2.552302556716208,3003.0,866.3729248046875,1786.5017066001892,0.0
2400,0.6431417,6.7386436,,,,,,,,,,,,,,
2500,0.7834625,6.7071095,,,,,,,,,,,,,,
2600,0.6130199,6.613556,,,,,,,,,,,,,,
2700,0.81888205,6.675595,,,,,,,,,,,,,,
2800,0.7465382,6.5380588,,,,,,,,,,,,,,
2900,0.8060814,6.4854255,,,,,,,,,,,,,,
3000,0.61683494,6.4490256,,,,,,,,,,,,,,
3100,0.8925309,6.3672633,,,,,,,,,,,,,,
3200,0.62038016,6.2740064,,,,,,,,,,,,,,
3300,0.73946744,6.2863884,,,,,,,,,,,,,,
3400,0.66422904,6.146776,,,,,,,,,,,,,,
3500,0.9582977,6.1467805,,,,,,,,,,,,,,
3600,0.5893344,6.0735407,,,,,,,,,,,,,,
3700,0.58344257,6.0047426,,,,,,,,,,,,,,
3800,1.0167261,5.9901834,,,,,,,,,,,,,,
3900,0.7206035,5.90182,,,,,,,,,,,,,,
4000,0.68860966,5.8336434,,,,,,,,,,,,,,
4100,0.64494973,5.7456193,,,,,,,,,,,,,,
4200,0.60947484,5.7668023,,,,,,,,,,,,,,
4300,0.6047155,5.691918,,,,,,,,,,,,,,
4400,0.5581486,5.717556,,,,,,,,,,,,,,
4500,0.5316476,5.6749997,,,,,,,,,,,,,,
4600,0.5477598,5.5958924,,,,,,,,,,,,,,
4688,,,0.4653723537921905,3.8526670932769775,17.00474173912425,0.4558777809143066,3.9329237937927246,13.530390517926056,3000.0,0.4491313695907593,4.071622371673584,11.911102323545911,3003.0,1703.5304112434387,3504.528959751129,0.0
4700,0.7188071,5.471684,,,,,,,,,,,,,,
4800,0.6030565,5.469679,,,,,,,,,,,,,,
4900,0.6864202,5.4591837,,,,,,,,,,,,,,
5000,0.5676201,5.4053564,,,,,,,,,,,,,,
5100,0.5095673,5.4640317,,,,,,,,,,,,,,
5200,0.5751132,5.4956408,,,,,,,,,,,,,,
5300,0.6006916,5.368955,,,,,,,,,,,,,,
5400,0.566328,5.3668323,,,,,,,,,,,,,,
5500,0.47276682,5.3174095,,,,,,,,,,,,,,
5600,0.5898359,5.2084465,,,,,,,,,,,,,,
5700,0.47395888,5.1992545,,,,,,,,,,,,,,
5800,0.4715007,5.2067103,,,,,,,,,,,,,,
5900,0.5230707,5.2168155,,,,,,,,,,,,,,
6000,0.5164291,5.1811047,,,,,,,,,,,,,,
6100,0.5049335,5.274638,,,,,,,,,,,,,,
6200,0.5458426,5.2275953,,,,,,,,,,,,,,
6300,0.53253007,5.083023,,,,,,,,,,,,,,
6400,0.57424814,5.1726117,,,,,,,,,,,,,,
6500,0.5644887,5.128493,,,,,,,,,,,,,,
6600,0.44076484,5.0564203,,,,,,,,,,,,,,
6700,0.4613671,5.007958,,,,,,,,,,,,,,
6800,0.4675904,5.069756,,,,,,,,,,,,,,
6900,0.44062376,5.0149217,,,,,,,,,,,,,,
7000,0.42852992,4.982737,,,,,,,,,,,,,,
7031,,,0.5378724932670593,3.101649045944214,24.00020441434387,0.534537672996521,3.111851692199707,19.69288232796673,3000.0,0.5316019058227539,3.17801570892334,18.04903677432329,3003.0,2540.6229951381683,4868.979194879532,0.0
7100,0.47136885,5.0369716,,,,,,,,,,,,,,
7200,0.42678416,4.9822307,,,,,,,,,,,,,,
7300,0.4272916,4.990543,,,,,,,,,,,,,,
7400,0.38692316,4.919875,,,,,,,,,,,,,,
7500,0.41694105,4.8673477,,,,,,,,,,,,,,
7600,0.4669647,4.991709,,,,,,,,,,,,,,
7700,0.42645466,4.894384,,,,,,,,,,,,,,
7800,0.40088543,4.8746133,,,,,,,,,,,,,,
7900,0.42027894,4.9239135,,,,,,,,,,,,,,
8000,0.40376198,4.9314666,,,,,,,,,,,,,,
8100,0.38526443,4.8955445,,,,,,,,,,,,,,
8200,0.3982074,4.8523407,,,,,,,,,,,,,,
8300,0.4603615,4.882545,,,,,,,,,,,,,,
8400,0.40647638,4.834494,,,,,,,,,,,,,,
8500,0.39683536,4.8577266,,,,,,,,,,,,,,
8600,0.39650214,4.8730106,,,,,,,,,,,,,,
8700,0.4012286,4.778856,,,,,,,,,,,,,,
8800,0.43041813,4.77664,,,,,,,,,,,,,,
8900,0.38626412,4.779454,,,,,,,,,,,,,,
9000,0.39585084,4.903081,,,,,,,,,,,,,,
9100,0.4100895,4.8158207,,,,,,,,,,,,,,
9200,0.39011833,4.852453,,,,,,,,,,,,,,
9300,0.37581995,4.78862,,,,,,,,,,,,,,
9375,,,0.5667976140975952,2.85198187828064,25.889684911538268,0.5681888461112976,2.79660439491272,21.75657116973749,3000.0,0.5683574676513672,2.824789047241211,20.47531473406816,3003.0,3377.586708068848,6188.298986911774,0.0
9400,0.40624008,4.819465,,,,,,,,,,,,,,
9500,0.38245875,4.7341394,,,,,,,,,,,,,,
9600,0.37241447,4.741511,,,,,,,,,,,,,,
9700,0.3833661,4.717161,,,,,,,,,,,,,,
9800,0.36155626,4.7505026,,,,,,,,,,,,,,
9900,0.36960813,4.744144,,,,,,,,,,,,,,
10000,,,0.5725184679031372,2.793478012084961,26.81671146498904,0.5753927230834961,2.71985387802124,22.68557825547986,3000.0,0.575631856918335,2.735879898071289,21.34708048467996,3003.0,3600.278144598007,6870.311441421509,0.0
10000,,,,,,,,,,,,,,3600.278144598007,,0.0
