,target setting steps,baseline steps,global step,total duration (s),total eval time (s),total logging & checkpointing_time (s),total submission time (s),submission time till eval 2 (s),num steps till eval 2,submission time since eval 2 (s),num steps since eval 2,equilibrium step time (s),projected max submission time (s)
fastmri_adamw,27142.0,36189.333333333336,2714.0,1120.0500092506409,274.54460167884827,4.498829364776611,839.6026043891907,164.63320565223694,309.0,674.9693987369537,2405.0,0.28065255664738203,10234.540489012521
imagenet_resnet_adamw,140000.0,186666.66666666666,14000.0,6178.263594865799,1199.8319733142853,7.214643239974976,4963.51860833168,568.2091913223267,1433.0,4395.309417009354,12567.0,0.34975009286300257,65353.70130934345
imagenet_vit_adamw,140000.0,186666.66666666666,14000.0,7177.36173415184,1520.4550046920776,12.59447717666626,5635.490258932114,484.874960899353,1039.0,5150.615298032761,12961.0,0.39739335684227767,74252.0765403654
librispeech_deepspeech_adamw,60000.0,80000.0,8000.0,7469.468677520752,218.27638745307922,3.3256995677948,7243.413491487503,1475.7362008094788,1587.0,5767.677290678024,6413.0,0.8993727258191212,71998.24975046422
ogbg_adamw,60000.0,80000.0,6000.0,2766.8714973926544,786.9353442192078,5.003198146820068,1973.1864566802979,244.9157691001892,742.0,1728.2706875801086,5258.0,0.3286935503195338,26296.509180325796
wmt_adamw,100000.0,133333.33333333334,10000.0,7872.163287401199,3611.840841770172,4.748785495758057,4251.902579069138,874.7938015460968,1988.0,3377.1087775230408,8012.0,0.4215063376838543,56237.68422674451
