,criteo1tb,fastmri,imagenet_resnet,imagenet_vit,librispeech_conformer,librispeech_deepspeech,ogbg,wmt
adamw,0.1568166379598526,2.480752227944158,2.1871996278106893,1.998629718618046,1.2352462144585357,1.2253983167701932,2.9102612817951385,1.341940922721431
momentum,0.15687147717828198,2.4743522243340297,2.218267946155743,2.0994188309873247,1.2968635527582322,1.238856103557271,2.9091550663576484,1.2896414845782698
nadamw,0.1568077855094816,2.487508189443203,2.163256683706162,1.9833125358594461,1.2361869475570944,1.2271519877295054,2.8649664880268713,1.3599593427853085
nesterov,0.15678226729319256,2.48353528946444,2.215990541157466,2.0967579119541533,1.298729006796573,1.263253968949092,2.942090631679164,1.2974352817288755
