,target setting steps,baseline steps,global step,total duration (s),total eval time (s),total logging & checkpointing_time (s),total data selection time (s),total submission time (s),submission time till eval 2 (s),num steps till eval 2,submission time since eval 2 (s),num steps since eval 2,equilibrium step time (s),projected max submission time (s)
criteo1tb_sam,8000.0,10666.666666666666,1600.0,10832.339282751083,9628.048043251038,0.16327524185180664,,1204.1106786727905,124.1879415512085,157.0,1079.922737121582,1443.0,0.7483872052124616,7989.488005932442
criteo1tb_sam-incl-update,8000.0,10666.666666666666,1600.0,11735.30456662178,10498.542232513428,0.19356918334960938,1152.3154575824738,1236.5459456443787,147.30008006095886,162.0,1089.2458655834198,1438.0,0.7574727855239359,8104.299201061397
fastmri_sam,27142.0,36189.333333333336,5428.0,1678.0464823246002,294.58115243911743,0.32541537284851074,,1383.076896429062,119.1984748840332,331.0,1263.8784215450287,5097.0,0.24796516020110432,9010.815844428633
fastmri_sam-incl-update,27142.0,36189.333333333336,5428.0,1722.990051984787,286.4513990879059,0.35891032218933105,1271.8306708335876,1436.103980064392,149.11688494682312,329.0,1286.987095117569,5099.0,0.25239990098403,9200.261467534467
